Frame,ID,x1,y1,x2,y2,Column7,Column8,Column9
3,1,412,329,43,54,-1,-1,-1
4,1,412,328,43,54,-1,-1,-1
4,2,430,0,67,70,-1,-1,-1
5,2,430,0,66,68,-1,-1,-1
6,2,430,0,67,70,-1,-1,-1
7,2,430,0,67,70,-1,-1,-1
7,3,694,163,79,78,-1,-1,-1
8,2,430,0,67,70,-1,-1,-1
8,3,695,163,78,77,-1,-1,-1
9,2,429,0,68,71,-1,-1,-1
9,3,694,163,78,76,-1,-1,-1
10,2,429,0,68,71,-1,-1,-1
10,3,694,163,78,76,-1,-1,-1
11,2,429,0,68,70,-1,-1,-1
11,3,693,163,79,77,-1,-1,-1
12,2,429,0,68,70,-1,-1,-1
12,3,693,163,79,77,-1,-1,-1
12,4,244,144,67,80,-1,-1,-1
13,2,429,0,67,70,-1,-1,-1
13,3,693,163,80,77,-1,-1,-1
13,4,243,144,66,79,-1,-1,-1
14,2,429,0,67,69,-1,-1,-1
14,3,693,163,80,77,-1,-1,-1
14,4,243,144,65,77,-1,-1,-1
15,2,429,0,68,69,-1,-1,-1
15,3,692,163,80,77,-1,-1,-1
15,4,247,143,62,74,-1,-1,-1
16,2,429,0,68,69,-1,-1,-1
16,3,693,163,80,76,-1,-1,-1
16,4,245,142,63,75,-1,-1,-1
17,2,429,0,68,69,-1,-1,-1
17,3,693,163,80,76,-1,-1,-1
17,4,246,142,62,73,-1,-1,-1
18,2,430,0,68,69,-1,-1,-1
18,3,692,161,83,78,-1,-1,-1
19,2,429,0,69,70,-1,-1,-1
19,3,695,158,77,71,-1,-1,-1
20,2,429,0,68,70,-1,-1,-1
20,3,696,156,76,69,-1,-1,-1
21,2,430,0,68,70,-1,-1,-1
21,3,695,155,77,69,-1,-1,-1
22,2,429,0,69,70,-1,-1,-1
22,3,695,155,76,67,-1,-1,-1
23,2,429,0,69,70,-1,-1,-1
23,3,695,155,77,68,-1,-1,-1
23,4,248,142,63,73,-1,-1,-1
24,2,430,0,68,70,-1,-1,-1
24,3,696,154,76,65,-1,-1,-1
24,4,241,142,67,77,-1,-1,-1
25,2,429,0,69,70,-1,-1,-1
25,3,694,149,80,69,-1,-1,-1
25,4,233,140,73,80,-1,-1,-1
26,2,430,0,68,70,-1,-1,-1
26,3,689,142,89,77,-1,-1,-1
26,4,232,140,73,81,-1,-1,-1
27,2,429,0,69,70,-1,-1,-1
27,3,689,134,94,82,-1,-1,-1
28,2,429,0,69,70,-1,-1,-1
28,3,689,129,98,87,-1,-1,-1
29,2,429,0,69,70,-1,-1,-1
29,3,689,126,101,89,-1,-1,-1
30,2,429,0,69,71,-1,-1,-1
30,3,688,123,102,91,-1,-1,-1
31,2,430,0,69,71,-1,-1,-1
31,3,685,121,105,94,-1,-1,-1
32,1,594,287,103,129,-1,-1,-1
32,2,430,0,69,71,-1,-1,-1
32,3,683,118,107,96,-1,-1,-1
33,1,596,286,105,131,-1,-1,-1
33,2,430,0,69,71,-1,-1,-1
33,3,682,117,108,98,-1,-1,-1
34,1,596,286,107,132,-1,-1,-1
34,2,430,0,68,70,-1,-1,-1
34,3,682,116,108,98,-1,-1,-1
35,1,596,286,108,131,-1,-1,-1
35,2,430,0,68,70,-1,-1,-1
35,3,681,116,109,100,-1,-1,-1
36,1,602,284,110,134,-1,-1,-1
36,2,431,0,68,70,-1,-1,-1
36,3,682,116,107,98,-1,-1,-1
37,2,431,0,68,69,-1,-1,-1
37,3,683,118,104,96,-1,-1,-1
37,4,238,133,71,76,-1,-1,-1
38,2,431,0,67,69,-1,-1,-1
38,3,683,116,105,97,-1,-1,-1
38,4,238,132,71,75,-1,-1,-1
39,2,430,0,68,69,-1,-1,-1
39,8,176,71,101,98,-1,-1,-1
40,2,430,0,68,69,-1,-1,-1
40,8,177,69,107,104,-1,-1,-1
41,2,430,0,68,69,-1,-1,-1
41,3,678,116,103,98,-1,-1,-1
41,8,180,70,112,109,-1,-1,-1
42,2,430,0,69,69,-1,-1,-1
42,3,677,115,104,99,-1,-1,-1
42,8,176,75,100,97,-1,-1,-1
43,2,430,0,69,69,-1,-1,-1
43,8,180,79,93,90,-1,-1,-1
44,2,430,0,69,69,-1,-1,-1
44,3,683,118,100,95,-1,-1,-1
44,8,189,84,86,85,-1,-1,-1
45,2,430,0,69,69,-1,-1,-1
45,3,681,119,97,94,-1,-1,-1
45,8,201,70,106,103,-1,-1,-1
46,2,430,0,68,69,-1,-1,-1
46,3,680,119,97,94,-1,-1,-1
46,8,203,62,118,114,-1,-1,-1
47,2,430,0,69,69,-1,-1,-1
47,3,681,120,95,93,-1,-1,-1
47,8,207,55,123,119,-1,-1,-1
48,2,430,0,69,70,-1,-1,-1
48,3,681,120,94,93,-1,-1,-1
48,8,213,52,121,117,-1,-1,-1
49,2,430,0,69,70,-1,-1,-1
49,3,680,120,95,94,-1,-1,-1
49,8,216,49,108,105,-1,-1,-1
50,2,429,0,70,71,-1,-1,-1
50,3,680,119,95,94,-1,-1,-1
50,8,235,48,107,104,-1,-1,-1
51,2,428,0,70,71,-1,-1,-1
51,3,680,120,93,94,-1,-1,-1
51,8,231,47,106,102,-1,-1,-1
52,2,429,0,70,71,-1,-1,-1
52,3,681,120,92,93,-1,-1,-1
52,8,234,47,95,90,-1,-1,-1
53,2,430,0,68,69,-1,-1,-1
53,3,682,120,91,93,-1,-1,-1
53,8,235,62,82,75,-1,-1,-1
54,2,429,0,68,68,-1,-1,-1
54,3,682,120,92,93,-1,-1,-1
54,8,244,67,81,69,-1,-1,-1
54,12,516,2,89,107,-1,-1,-1
55,2,430,0,68,68,-1,-1,-1
55,3,685,122,91,92,-1,-1,-1
55,8,239,64,91,75,-1,-1,-1
55,12,516,2,90,107,-1,-1,-1
56,2,430,0,68,68,-1,-1,-1
56,3,685,122,91,92,-1,-1,-1
56,8,233,60,103,83,-1,-1,-1
57,2,430,0,68,68,-1,-1,-1
57,8,236,59,103,83,-1,-1,-1
57,12,516,2,90,107,-1,-1,-1
58,2,430,0,67,68,-1,-1,-1
58,4,216,47,131,139,-1,-1,-1
58,12,517,2,89,105,-1,-1,-1
59,2,430,0,67,67,-1,-1,-1
59,4,215,43,134,142,-1,-1,-1
59,12,518,3,88,104,-1,-1,-1
60,2,430,0,68,68,-1,-1,-1
60,12,519,3,87,104,-1,-1,-1
61,2,430,0,69,69,-1,-1,-1
61,12,518,2,89,105,-1,-1,-1
61,15,218,43,89,97,-1,-1,-1
62,2,430,0,69,69,-1,-1,-1
62,12,519,7,86,101,-1,-1,-1
62,15,217,38,87,95,-1,-1,-1
63,2,430,0,69,69,-1,-1,-1
63,12,524,10,83,96,-1,-1,-1
63,15,217,38,89,98,-1,-1,-1
64,2,430,0,69,70,-1,-1,-1
64,12,522,13,84,95,-1,-1,-1
64,15,219,37,89,100,-1,-1,-1
65,2,429,0,69,70,-1,-1,-1
65,12,520,15,86,94,-1,-1,-1
65,15,222,38,83,94,-1,-1,-1
66,2,429,0,69,70,-1,-1,-1
66,3,685,120,92,94,-1,-1,-1
66,12,521,16,87,93,-1,-1,-1
66,15,222,37,80,92,-1,-1,-1
67,2,430,0,69,71,-1,-1,-1
67,3,685,118,92,97,-1,-1,-1
67,12,519,17,89,93,-1,-1,-1
67,15,224,37,80,92,-1,-1,-1
67,18,184,140,119,103,-1,-1,-1
68,2,430,0,69,71,-1,-1,-1
68,3,686,120,89,95,-1,-1,-1
68,12,518,17,90,93,-1,-1,-1
68,15,227,37,76,88,-1,-1,-1
68,18,179,124,136,119,-1,-1,-1
69,2,430,0,69,71,-1,-1,-1
69,3,686,120,89,95,-1,-1,-1
69,12,517,16,92,93,-1,-1,-1
69,15,223,36,84,99,-1,-1,-1
69,18,187,112,152,133,-1,-1,-1
69,19,591,286,109,130,-1,-1,-1
70,2,429,0,69,71,-1,-1,-1
70,3,687,122,88,93,-1,-1,-1
70,12,518,16,93,93,-1,-1,-1
70,15,223,37,84,100,-1,-1,-1
70,18,183,117,146,129,-1,-1,-1
70,19,591,286,109,130,-1,-1,-1
71,2,430,0,68,70,-1,-1,-1
71,3,685,128,79,86,-1,-1,-1
71,12,522,15,93,92,-1,-1,-1
71,15,225,38,82,100,-1,-1,-1
71,18,181,118,142,128,-1,-1,-1
71,19,591,286,110,130,-1,-1,-1
72,2,430,0,69,70,-1,-1,-1
72,3,684,129,78,85,-1,-1,-1
72,4,254,59,123,137,-1,-1,-1
72,12,524,16,92,92,-1,-1,-1
72,15,225,37,83,101,-1,-1,-1
72,18,184,123,135,123,-1,-1,-1
72,19,591,286,110,130,-1,-1,-1
73,2,429,0,69,70,-1,-1,-1
73,4,268,60,114,136,-1,-1,-1
73,12,524,16,92,91,-1,-1,-1
73,15,219,44,76,93,-1,-1,-1
73,18,184,123,134,124,-1,-1,-1
73,19,591,286,110,130,-1,-1,-1
74,2,430,0,69,71,-1,-1,-1
74,4,272,60,109,136,-1,-1,-1
74,12,523,16,93,92,-1,-1,-1
74,15,215,45,77,94,-1,-1,-1
74,18,183,123,133,124,-1,-1,-1
74,19,591,285,110,131,-1,-1,-1
75,2,430,0,69,71,-1,-1,-1
75,4,277,65,103,133,-1,-1,-1
75,12,522,16,93,92,-1,-1,-1
75,15,214,46,77,94,-1,-1,-1
75,18,184,124,130,124,-1,-1,-1
76,2,430,0,69,71,-1,-1,-1
76,4,291,94,81,103,-1,-1,-1
76,12,520,16,94,92,-1,-1,-1
76,15,212,44,78,96,-1,-1,-1
76,18,185,124,127,122,-1,-1,-1
77,2,430,0,68,70,-1,-1,-1
77,4,296,105,73,92,-1,-1,-1
77,12,518,16,96,93,-1,-1,-1
77,15,213,45,80,97,-1,-1,-1
77,18,186,122,126,123,-1,-1,-1
78,2,430,0,68,70,-1,-1,-1
78,4,298,110,70,87,-1,-1,-1
78,12,516,16,97,93,-1,-1,-1
78,15,213,44,81,98,-1,-1,-1
78,18,190,120,119,117,-1,-1,-1
79,2,430,0,68,70,-1,-1,-1
79,4,285,84,90,113,-1,-1,-1
79,12,514,16,98,93,-1,-1,-1
79,15,212,44,81,98,-1,-1,-1
79,18,191,121,119,118,-1,-1,-1
80,2,430,0,68,69,-1,-1,-1
80,4,292,98,79,99,-1,-1,-1
80,12,514,16,99,93,-1,-1,-1
80,15,211,44,81,97,-1,-1,-1
80,18,192,121,118,119,-1,-1,-1
81,2,430,0,67,69,-1,-1,-1
81,4,280,74,96,123,-1,-1,-1
81,12,514,16,100,93,-1,-1,-1
81,15,211,44,80,96,-1,-1,-1
81,18,194,122,116,118,-1,-1,-1
82,2,430,0,67,69,-1,-1,-1
82,4,278,65,100,131,-1,-1,-1
82,12,514,15,101,94,-1,-1,-1
82,15,213,44,79,96,-1,-1,-1
82,18,195,123,112,114,-1,-1,-1
83,2,430,0,67,69,-1,-1,-1
83,4,277,62,101,134,-1,-1,-1
83,12,515,15,101,94,-1,-1,-1
83,15,215,44,78,96,-1,-1,-1
83,18,197,122,109,112,-1,-1,-1
84,2,430,0,67,69,-1,-1,-1
84,4,277,61,100,135,-1,-1,-1
84,12,515,15,101,94,-1,-1,-1
84,15,216,43,79,96,-1,-1,-1
84,18,198,125,108,112,-1,-1,-1
85,2,430,0,67,69,-1,-1,-1
85,4,274,61,100,135,-1,-1,-1
85,12,514,15,102,94,-1,-1,-1
85,15,218,40,80,100,-1,-1,-1
85,18,201,126,105,109,-1,-1,-1
86,2,430,0,67,69,-1,-1,-1
86,4,273,61,100,135,-1,-1,-1
86,12,515,15,102,95,-1,-1,-1
86,15,219,38,81,102,-1,-1,-1
86,18,203,127,102,106,-1,-1,-1
87,2,430,0,67,69,-1,-1,-1
87,4,273,61,100,136,-1,-1,-1
87,12,516,15,101,95,-1,-1,-1
87,15,218,38,82,103,-1,-1,-1
87,18,207,129,94,97,-1,-1,-1
88,2,430,0,67,69,-1,-1,-1
88,4,274,60,99,136,-1,-1,-1
88,12,515,15,102,95,-1,-1,-1
88,15,219,38,81,103,-1,-1,-1
88,18,207,126,93,95,-1,-1,-1
89,2,430,0,67,69,-1,-1,-1
89,4,275,61,98,136,-1,-1,-1
89,12,515,15,102,95,-1,-1,-1
89,15,221,39,79,102,-1,-1,-1
89,18,203,119,96,97,-1,-1,-1
90,2,431,0,67,69,-1,-1,-1
90,4,275,61,97,135,-1,-1,-1
90,12,517,15,101,95,-1,-1,-1
90,15,222,40,75,98,-1,-1,-1
90,18,203,118,94,96,-1,-1,-1
91,2,431,0,67,69,-1,-1,-1
91,4,276,62,96,134,-1,-1,-1
91,12,519,15,100,94,-1,-1,-1
91,15,222,41,74,96,-1,-1,-1
92,2,431,0,67,68,-1,-1,-1
92,4,277,62,96,134,-1,-1,-1
92,12,519,15,99,94,-1,-1,-1
92,15,221,42,74,96,-1,-1,-1
93,2,431,0,67,68,-1,-1,-1
93,4,279,62,95,134,-1,-1,-1
93,12,520,15,100,94,-1,-1,-1
93,15,222,43,73,94,-1,-1,-1
93,18,214,138,85,85,-1,-1,-1
94,2,431,0,67,68,-1,-1,-1
94,4,281,63,93,133,-1,-1,-1
94,12,520,15,99,94,-1,-1,-1
94,15,222,44,70,89,-1,-1,-1
94,18,219,141,80,79,-1,-1,-1
95,2,430,0,67,68,-1,-1,-1
95,4,282,64,92,132,-1,-1,-1
95,12,521,15,98,94,-1,-1,-1
95,15,223,42,69,88,-1,-1,-1
95,18,220,143,81,80,-1,-1,-1
96,2,430,0,67,68,-1,-1,-1
96,4,283,64,91,132,-1,-1,-1
96,12,522,15,97,93,-1,-1,-1
96,15,224,43,68,86,-1,-1,-1
96,18,223,143,78,78,-1,-1,-1
97,2,430,0,67,68,-1,-1,-1
97,4,284,64,90,132,-1,-1,-1
97,12,523,15,96,93,-1,-1,-1
97,15,222,43,70,88,-1,-1,-1
97,18,224,144,77,76,-1,-1,-1
98,2,430,0,67,68,-1,-1,-1
98,4,283,64,89,132,-1,-1,-1
98,12,524,16,96,92,-1,-1,-1
98,15,219,43,72,90,-1,-1,-1
98,18,222,143,78,76,-1,-1,-1
98,23,694,170,95,72,-1,-1,-1
